127.0.0.1 - - [30/Sep/2017:19:31:41 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/css/materialize.css HTTP/1.1" 200 164236
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/js/menu.js HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/css/custom-css.css HTTP/1.1" 200 25356
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/images/default/logo.png HTTP/1.1" 200 33690
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/js/materialize.js HTTP/1.1" 200 326348
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/images/avatar/renanchagasw/renanchagasw.png HTTP/1.1" 200 1217747
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 64832
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/projects/details?id=12 HTTP/1.1" 200 26395
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/images/default/projects/web.png HTTP/1.1" 200 11155
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/images/default/projects/checklist.png HTTP/1.1" 200 11266
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/images/default/projects/monitor.png HTTP/1.1" 200 15325
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/images/default/projects/checklist-2.png HTTP/1.1" 200 13292
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/images/default/projects/diagram.png HTTP/1.1" 200 16372
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/images/default/projects/document.png HTTP/1.1" 200 13648
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/images/default/projects/computer.png HTTP/1.1" 200 11816
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/images/default/projects/browser.png HTTP/1.1" 200 11311
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:12 -0300] "GET /finalproject/static/images/default/projects/presentation.png HTTP/1.1" 200 11632
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:13 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Thin.woff2 HTTP/1.1" 200 63056
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:13 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 200 65412
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:13 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 64800
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:13 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 200 64268
